,listing_id,counts
2686,8956494,162
7230,18638872,162
5141,15262865,162
3186,10059946,162
2500,8490321,161
4243,13014154,161
2192,7523333,161
6845,17950323,161
10375,22754410,161
6483,17307125,161
1070,4213275,161
7191,18589100,161
3642,11228382,161
8819,21270374,160
4519,13649689,160
8420,20774598,160
2492,8484713,160
8555,20961066,160
8739,21165782,159
3616,11130505,159
6,41836,159
3651,11257871,159
3455,10668850,159
5518,15945202,159
7290,18738602,159
2859,9417300,159
1134,4419297,159
5461,15862811,159
2636,8830324,159
7873,19776779,158
3721,11432463,158
3731,11466595,158
8466,20837809,158
1777,6133256,158
943,3639945,158
2385,8192129,158
2855,9399621,158
609,2239222,158
1722,5946376,158
4068,12512063,157
12610,26814774,157
1592,5573248,157
2384,8190128,157
10995,23652071,157
11161,23870228,157
986,3891444,157
2935,9595833,157
948,3655585,157
4950,14857562,157
2272,7781073,157
5750,16233166,157
3042,9777538,156
1099,4288021,156
2772,9191838,156
1760,6080354,156
2398,8239828,156
3202,10091032,156
8614,21013424,156
10042,22363789,156
7215,18619217,156
8271,20561482,156
7299,18757808,156
4822,14407474,156
6237,16858889,156
4515,13643774,155
8297,20594754,155
2499,8489515,155
1702,5851992,155
5014,14998796,155
8162,20351923,155
4292,13132835,155
3540,10909919,155
1405,5105743,155
2258,7752682,155
9056,21508451,154
6404,17127452,154
8842,21297032,154
5995,16500153,154
7720,19539544,154
1617,5620625,154
7256,18676341,154
4025,12360168,154
3236,10128735,154
8800,21250456,154
2106,7210280,154
5029,15027552,154
145,591772,154
3987,12237975,153
6053,16589095,153
2062,7056176,153
5254,15524867,153
1386,5051642,153
4067,12507693,153
5419,15790857,153
3298,10265783,153
1172,4521160,153
4254,13036390,153
5030,15028580,153
9606,22001398,153
7721,19539670,153
9642,22023668,153
10248,22593091,153
9165,21611210,153
7526,19143290,152
4233,12978958,152
4071,12522973,152
4046,12434798,152
6430,17194850,152
1453,5222109,152
1478,5299684,152
5699,16189957,152
1461,5242889,152
1468,5280433,152
7630,19353868,152
7084,18385179,151
1247,4738673,151
4209,12921172,151
4923,14779498,151
4933,14812657,151
5541,15976012,151
2055,7027614,151
6436,17224262,151
2750,9116037,151
4704,14141577,150
2695,8962901,150
4657,13980222,150
3911,12005489,150
5511,15943365,150
9062,21515837,150
5483,15902987,150
6661,17630759,150
2000,6820141,150
3913,12008074,149
4841,14505552,149
2584,8705779,149
8647,21058934,149
820,3070495,149
7318,18794160,149
3699,11400278,149
9504,21926234,149
5006,14988092,149
7151,18529253,148
7276,18721221,148
5432,15808370,148
8932,21401321,148
28,111001,148
3235,10128616,148
5874,16369125,148
676,2448210,148
3533,10887890,148
9425,21853440,148
4574,13777679,148
